name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
Porsche 911 Carrera,2019,14500000,18000,Petrol,Dealer,First Owner,7.5 kmpl,2995 CC,370 bhp,450Nm@1900rpm,4
Ferrari 458 Italia,2012,22000000,22000,Petrol,Individual,Second Owner,6.2 kmpl,4499 CC,570 bhp,540Nm@6000rpm,2
BMW M4 Competition,2021,12000000,12000,Petrol,Dealer,First Owner,9.0 kmpl,2993 CC,503 bhp,650Nm@2600rpm,4
Audi R8,2018,18000000,15000,Petrol,Dealer,First Owner,6.8 kmpl,5204 CC,540 bhp,540Nm@6500rpm,2
Nissan GT-R,2016,16000000,25000,Petrol,Individual,Second Owner,6.5 kmpl,3799 CC,565 bhp,632Nm@3600rpm,4
Chevrolet Corvette Stingray,2020,9000000,8000,Petrol,Dealer,First Owner,7.0 kmpl,4958 CC,495 bhp,637Nm@4600rpm,4
Jaguar F-Type R,2017,11000000,14000,Petrol,Dealer,Second Owner,6.9 kmpl,5000 CC,575 bhp,700Nm@2500rpm,4
Mercedes-AMG GT,2019,13500000,10000,Petrol,Dealer,First Owner,7.2 kmpl,3982 CC,523 bhp,670Nm@2000rpm,2
Ford Mustang GT,2015,8000000,40000,Petrol,Individual,Second Owner,8.5 kmpl,4951 CC,435 bhp,542Nm@4250rpm,4
Lamborghini Huracan,2018,25000000,9000,Petrol,Dealer,First Owner,5.5 kmpl,5204 CC,610 bhp,560Nm@6500rpm,2
Aston Martin Vantage,2016,14000000,20000,Petrol,Individual,Second Owner,7.0 kmpl,4921 CC,503 bhp,505Nm@4500rpm,4
Porsche Cayman GT4,2017,12500000,11000,Petrol,Dealer,First Owner,7.1 kmpl,3800 CC,385 bhp,420Nm@4700rpm,2
McLaren 570S,2019,26000000,7000,Petrol,Dealer,First Owner,6.0 kmpl,3799 CC,562 bhp,600Nm@4000rpm,2
BMW Z4 M40i,2020,9500000,9000,Petrol,Dealer,First Owner,9.2 kmpl,2998 CC,382 bhp,500Nm@1600rpm,2
Audi TT RS,2016,7000000,21000,Petrol,Individual,Second Owner,8.0 kmpl,2500 CC,400 bhp,480Nm@1700rpm,4
Lotus Evora,2015,9800000,30000,Petrol,Individual,Third Owner,6.5 kmpl,3456 CC,416 bhp,420Nm@4500rpm,2
Alfa Romeo 4C,2014,6800000,27000,Petrol,Dealer,Second Owner,8.0 kmpl,1742 CC,237 bhp,350Nm@2200rpm,2
Honda NSX,2017,23000000,9000,Hybrid,Dealer,First Owner,13.0 kmpl,3498 CC,573 bhp,645Nm@2000rpm,2
Dodge Challenger SRT,2018,8500000,15000,Petrol,Individual,First Owner,6.4 kmpl,6166 CC,807 bhp,959Nm@4200rpm,4
Mercedes SLS AMG,2014,19000000,32000,Petrol,Individual,Third Owner,6.0 kmpl,6220 CC,563 bhp,650Nm@4500rpm,2
Rolls-Royce Phantom,2015,40000000,12000,Petrol,Dealer,First Owner,5.8 kmpl,6749 CC,563 bhp,900Nm@1700rpm,5
Bentley Continental GT,2016,22000000,11000,Petrol,Dealer,First Owner,7.0 kmpl,5980 CC,626 bhp,900Nm@1700rpm,4
Mercedes S-Class S500,2020,15000000,9000,Petrol,Dealer,First Owner,8.5 kmpl,2999 CC,429 bhp,700Nm@2000rpm,5
BMW 7 Series 740Li,2019,13000000,16000,Petrol,Dealer,First Owner,9.0 kmpl,2998 CC,340 bhp,450Nm@1600rpm,5
Audi A8 L,2018,12000000,14000,Petrol,Dealer,First Owner,9.0 kmpl,2995 CC,340 bhp,500Nm@1400rpm,5
Lexus LS 500,2019,14000000,8000,Petrol,Dealer,First Owner,9.5 kmpl,3456 CC,415 bhp,600Nm@1400rpm,5
Maserati Quattroporte,2017,16000000,20000,Petrol,Individual,Second Owner,7.5 kmpl,2979 CC,430 bhp,580Nm@4500rpm,5
Jaguar XJ,2016,9000000,30000,Diesel,Dealer,Second Owner,15.0 kmpl,2993 CC,300 bhp,700Nm@2000rpm,5
BMW 6 Series Gran Coupe,2017,9500000,17000,Petrol,Dealer,First Owner,8.5 kmpl,2998 CC,450 bhp,650Nm@2500rpm,5
Lamborghini Urus,2020,28000000,6000,Petrol,Dealer,First Owner,6.2 kmpl,3996 CC,650 bhp,850Nm@2250rpm,5
Maybach S-Class,2018,30000000,7000,Petrol,Dealer,First Owner,7.8 kmpl,3980 CC,520 bhp,830Nm@2000rpm,5
Maruti Alto 800 LXI,2013,220000,65000,Petrol,Individual,First Owner,22.0 kmpl,796 CC,47 bhp,69Nm@3500rpm,4
Datsun GO,2015,180000,72000,Petrol,Individual,Second Owner,18.0 kmpl,1198 CC,68 bhp,104Nm@4000rpm,4
Hyundai Eon,2014,160000,90000,Petrol,Individual,Second Owner,20.0 kmpl,998 CC,57 bhp,82Nm@3500rpm,4
Tata Nano GenX,2013,90000,85000,Petrol,Individual,Second Owner,24.0 kmpl,624 CC,38 bhp,51Nm@3000rpm,4
Maruti Suzuki Celerio,2016,280000,60000,Petrol,Dealer,Second Owner,23.0 kmpl,998 CC,67 bhp,90Nm@3500rpm,4
Renault Kwid,2017,270000,55000,Petrol,Dealer,Second Owner,25.0 kmpl,999 CC,68 bhp,91Nm@4250rpm,4
Chevrolet Spark,2014,120000,85000,Petrol,Individual,Third Owner,19.0 kmpl,998 CC,56 bhp,77Nm@3800rpm,4
Suzuki Alto K10,2015,200000,50000,Petrol,Individual,First Owner,21.0 kmpl,998 CC,67 bhp,90Nm@3500rpm,4
Maruti WagonR VXi,2016,320000,40000,Petrol,Dealer,First Owner,20.0 kmpl,998 CC,67 bhp,90Nm@3500rpm,5
Hyundai Grand i10,2018,400000,35000,Petrol,Dealer,First Owner,18.9 kmpl,1197 CC,82 bhp,113Nm@4000rpm,5
Toyota Etios Liva,2015,350000,80000,Diesel,Individual,Second Owner,24.0 kmpl,1364 CC,68 bhp,170Nm@2000rpm,5
Maruti Swift Dzire VDI,2016,450000,70000,Diesel,Dealer,Second Owner,25.0 kmpl,1248 CC,74 bhp,190Nm@2000rpm,5
Honda Amaze i-DTEC,2017,480000,56000,Diesel,Dealer,First Owner,25.5 kmpl,1498 CC,100 bhp,200Nm@1750rpm,5
Hyundai Xcent Diesel,2018,420000,62000,Diesel,Individual,Second Owner,24.5 kmpl,1493 CC,90 bhp,220Nm@1500rpm,5
Ford Figo 1.5 TDCi,2015,300000,90000,Diesel,Individual,Third Owner,22.0 kmpl,1498 CC,99 bhp,215Nm@1750rpm,5
Maruti Dzire Tour,2019,350000,40000,Diesel,Dealer,First Owner,24.0 kmpl,1248 CC,74 bhp,190Nm@2000rpm,5
Toyota Innova Crysta 2.4 GX,2016,900000,120000,Diesel,Individual,Fourth & Above Owner,12.5 kmpl,2393 CC,148 bhp,340Nm@1600rpm,7
Renault Triber,2020,450000,30000,Petrol,Dealer,First Owner,20.0 kmpl,999 CC,72 bhp,96Nm@3500rpm,7
Skoda Rapid 1.6 TDI,2015,380000,85000,Diesel,Individual,Second Owner,22.0 kmpl,1598 CC,103 bhp,250Nm@1900rpm,5
Volkswagen Vento Diesel,2016,400000,75000,Diesel,Dealer,Second Owner,21.5 kmpl,1598 CC,103 bhp,250Nm@1900rpm,5
Hyundai i20 1.2 Petrol,2022,750000,15000,Petrol,Dealer,First Owner,20.0 kmpl,1197 CC,82 bhp,115Nm@4000rpm,5
Maruti Baleno Alpha,2021,700000,12000,Petrol,Dealer,First Owner,22.0 kmpl,1197 CC,88 bhp,113Nm@4200rpm,5
Tata Altroz XM Diesel,2020,650000,20000,Diesel,Dealer,First Owner,22.0 kmpl,1497 CC,90 bhp,200Nm@1500rpm,5
Honda City e:HEV,2022,1500000,8000,Hybrid,Dealer,First Owner,26.0 kmpl,1799 CC,126 bhp,250Nm@2000rpm,5
Toyota Prius,2020,1400000,10000,Hybrid,Dealer,First Owner,25.0 kmpl,1798 CC,121 bhp,200Nm@3500rpm,5
Hyundai Venue Turbo,2021,900000,11000,Petrol,Dealer,First Owner,17.0 kmpl,998 CC,120 bhp,172Nm@1500rpm,5
MG ZS EV,2021,1200000,15000,Electric,Dealer,First Owner,0 kmpl,0 CC,141 bhp,353Nm@0rpm,5
Tata Nexon EV,2022,1100000,8000,Electric,Dealer,First Owner,0 kmpl,0 CC,129 bhp,245Nm@0rpm,5
Kia Sonet 1.2,2021,800000,9000,Petrol,Dealer,First Owner,18.0 kmpl,1197 CC,83 bhp,113Nm@4000rpm,5
Maruti Dzire ZXI,2022,650000,7000,Petrol,Dealer,First Owner,23.0 kmpl,1197 CC,90 bhp,113Nm@4300rpm,5
Hyundai Aura 1.2,2020,600000,15000,Petrol,Dealer,First Owner,20.0 kmpl,1197 CC,82 bhp,113Nm@4000rpm,5
Volkswagen Polo,2019,500000,22000,Petrol,Individual,Second Owner,18.5 kmpl,999 CC,75 bhp,95Nm@3000rpm,5
Suzuki Dzire Tour,2020,380000,45000,Diesel,Dealer,First Owner,25.0 kmpl,1248 CC,74 bhp,190Nm@2000rpm,5
Toyota Glanza,2021,720000,10000,Petrol,Dealer,First Owner,22.0 kmpl,1197 CC,88 bhp,113Nm@4200rpm,5
Renault Kiger,2021,650000,12000,Petrol,Dealer,First Owner,18.0 kmpl,999 CC,100 bhp,160Nm@2000rpm,5
